doi,functionals,basis_sets,softwares,elements
10.1021/ic048910v,,,,C H N O Re
10.1021/ic049046+,,,,C H P Rh S
10.1021/ic049184z,,,,B H
10.1021/ic049277g,,,,C H Ir N
10.1021/ic049302i,,,,H N O Ru
10.1021/ic0496875,,,,C H Mo
10.1021/ic049715j,,,,C Fe H N O
10.1021/ic0498945,,,,Cl O
10.1021/ic0500311,,,,C H N O S
10.1021/ic050280p,,,,C H
10.1021/ic050371m,,,,B C F H Mn N S
10.1021/ic050419w,,,,C H I Ir N O
10.1021/ic050729e,,,,C Cl Cu H N O
10.1021/ic050865j,,,,C Fe H N O
10.1021/ic050981m,,,,C Fe H S
10.1021/ic0510213,,,,C H N Ni O
10.1021/ic051074k,,,,Al Ar B Be C Ca Cl Co Cr F Fe H He K Li Mg Mn N Na Ne O P S Sc Si Ti V
10.1021/ic0510866,,,,C Cl Fe H N
10.1021/ic0512274,,,,C H Mo O S
10.1021/ic051238x,,,,C H N O
10.1021/ic051271j,,,,C Cl H N Ti
10.1021/ic0513641,,,,B C Cl H O P Pt
10.1021/ic0515047,,,,C Cu H N O
10.1021/ic0515498,,,,C H N Rh
10.1021/ic051629b,,,,C Co H N O
10.1021/ic051944y,,,,Au F
10.1021/ic051959w,,,,C H P
10.1021/ic051970w,,,,C H N O Ru S
10.1021/ic052028n,,,,B C H O
10.1021/ic052037w,,,,C Ga H N O
10.1021/ic060112c,,,,O Ti W
10.1021/ic060220z,,,,C Cl H N O Ru S
10.1021/ic0603508,,,,Ac Ag Al Am Ar As At Au B Ba Be Bi Bk Br C Ca Cd Ce Cf Cl Cm Co Cr Cs Cu Dy Er Es Eu F Fe Fr Ga Gd Ge H He Hf Hg Ho I In Ir K Kr La Li Lu Mg Mn Mo N Na Nb Nd Ne Ni Np O Os P Pa Pb Pd Pm Po Pr Pt Pu Ra Rb Re Rh Rn Ru S Sb Sc Se Si Sm Sn Sr Ta Tb Tc Te Th Ti Tl Tm U V W Xe Y Yb Zn Zr
10.1021/ic060402t,,,,C Cl H N O Ti
10.1021/ic060541a,,,,Al Cl N P
10.1021/ic060603x,,,,C H N Si
10.1021/ic060692d,,,,C H N P Ta
10.1021/ic060706f,,,,C H N O P
10.1021/ic060725p,,,,C H O W
10.1021/ic060802g,,,,C Cu
10.1021/ic0608391,,,,C H O P S
10.1021/ic060851t,,,,C Ga Ge H N Si
10.1021/ic0608593,,,,B C H N P
10.1021/ic061091p,,,,C Cd Cl N S
10.1021/ic061126l,,,,C Cl H N P Ru
10.1021/ic061129y,,,,C Fe H N O
10.1021/ic0611995,,,,C Cu H N
10.1021/ic0615628,,,,C Cu H N S
10.1021/ic061642b,,,,C Cl H N Nb P
10.1021/ic061803b,,,,C Fe H N
10.1021/ic0618706,,,,C Fe H O P S
10.1021/ic0619759,,,,H O S U
10.1021/ic061998n,,,,C F Hg
10.1021/ic062030u,,,,Fe H O P W
10.1021/ic062125w,,,,C Co H N
10.1021/ic0623258,,,,H O Si V W
10.1021/ic0623361,,,,C Fe H O P
10.1021/ic0623819,,,,F Pd
10.1021/ic062409g,,,,C H Mo O
10.1021/ic062440i,,,,Cs H O S
10.1021/ic062468u,,,,O Os
10.1021/ic070051y,,,,C O U
10.1021/ic070083l,,,,C Fe H
10.1021/ic070244l,,,,C H N Ni S
10.1021/ic070294q,,,,Pm
10.1021/ic100028y,,,,C Mn N
10.1021/ic1000842,,,,C H N O
10.1021/ic100087d,,,,Ag Br C H N O
10.1021/ic100108h,,,,B C F Fe H N O P S
10.1021/ic100177n,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu F Fe Ga Ge H He I In K Kr La Li Mg Mn Mo N Na Nb Ne Ni O P Pd Rb Rh Ru S Sb Sc Se Si Sn Sr Tc Te Ti V Xe Y Zn Zr
10.1021/ic100198u,,,,H
10.1021/ic1002012,,,,C H N Ni S
10.1021/ic100206y,,,,B H
10.1021/ic100310w,,,,C Cd H Mn P S Se
10.1021/ic100313j,,,,C H Ir N P
10.1021/ic100323e,,,,Al Ar B Be C Ca Cl Co Cr Cu F Fe Ga H He K Li Mg Mn N Na Ne Ni O P S Sc Si Ti V Zn
10.1021/ic100358m,,,,C H N P Ru
10.1021/ic1004209,,,,C H N O V
10.1021/ic1004243,,,,C H N
10.1021/ic1004424,,,,C H Mn N P
10.1021/ic100450y,,,,C Cu H N
10.1021/ic1004853,,,,H Ni P
10.1021/ic100502x,,,,C Cu H N
10.1021/ic100521t,,,,Be
10.1021/ic100522f,,,,C Fe H N Ni O S
10.1021/ic1005715,,,,C Fe H N
10.1021/ic1005874,,,,B C H
10.1021/ic100636j,,,,C H N Ru
10.1021/ic1006378,,,,C Fe H N O S
10.1021/ic100710d,,,,C H N P Ru
10.1021/ic100711n,,,,C F H I S
10.1021/ic1007236,,,,C H N Ru
10.1021/ic100814j,,,,C Cu F N
10.1021/ic100817s,,,,C Fe H N
10.1021/ic100850f,,,,C O
10.1021/ic100870v,,,,C H N
10.1021/ic1009187,,,,C Cl H N Ni O S
10.1021/ic100926g,,,,C H N Ni
10.1021/ic100945n,,,,C H N Ni S
10.1021/ic100947q,,,,C H N S Zr
10.1021/ic1009797,,,,N
10.1021/ic100996b,,,,C Cu H N O
10.1021/ic101064c,,,,H He Li
10.1021/ic1010874,,,,B C Fe H N O
10.1021/ic101118y,,,,C Cr O Se
10.1021/ic101124q,,,,Mc
10.1021/ic101138u,,,,C Cu H N O
10.1021/ic1013285,,,,B Be C F H He Li N O
10.1021/ic101344t,,,,C H N O Pt
10.1021/ic101437h,,,,Au C H N
10.1021/ic101464j,,,,C H N S Zn
10.1021/ic101481c,,,,B H
10.1021/ic101515g,,,,C Cu H N O
10.1021/ic101524b,,,,C Cu H N
10.1021/ic101560u,,,,C Cr O Pb
10.1021/ic1015934,,,,C H N Ru
10.1021/ic101632v,,,,C H I N Pt
10.1021/ic1016356,,,,C H N O Re
10.1021/ic101730r,,,,C Co H N O
10.1021/ic101832c,,,,C Cu H N O
10.1021/ic101879s,,,,C H P Pt
10.1021/ic1018967,,,,C H N
10.1021/ic1019718,,,,B C H N O V
10.1021/ic1020127,,,,C Fe H N O
10.1021/ic102028d,,,,Ce Dy Er Eu Gd Ho La Lu Nd Pm Pr Sm Tb Tm Yb
10.1021/ic1020912,,,,Cl F
10.1021/ic102216v,,,,Au C H N
10.1021/ic102268n,,,,Au C Cl H N
10.1021/ic102273n,,,,C H N O Sn
10.1021/ic102295s,,,,C H N Ni O S
10.1021/ic102323s,,,,C Cl H N O Pd
10.1021/ic102373w,,,,C H O P
10.1021/ic1024229,,,,C Fe H N O
10.1021/ic102427g,,,,C H N O Ru
10.1021/ic102476x,,,,Al H O
10.1021/ic102566c,,,,C H N Si
10.1021/ic1025894,,,,C H N Ni O P
10.1021/ic2000816,,,,C Cl H N O Pt
10.1021/ic200153n,,,,Al B Be C F H He Li Mg N Na Ne O Si
10.1021/ic200182e,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu Dy Er Eu F Fe Ga Gd Ge H He Hf Ho I In K Kr La Li Lu Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Ta Tb Tc Te Ti Tm V Xe Y Yb Zn Zr
10.1021/ic2001915,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu F Fe Ga Ge H He I In K Kr La Li Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Tc Te Ti V Xe Y Zn Zr
10.1021/ic200221a,,,,C O
10.1021/ic200227b,,,,C H N O Y
10.1021/ic200325d,,,,Al
10.1021/ic200329m,,,,Mn Pb
10.1021/ic2003996,,,,C F H N O S
10.1021/ic2004062,,,,C H N O
10.1021/ic200417q,,,,B Be C F H He Li N O
10.1021/ic200442s,,,,C H N S
10.1021/ic2004563,,,,C H P Pd
10.1021/ic200481n,,,,C H N O Ru
10.1021/ic200487w,,,,H
10.1021/ic200522r,,,,C Fe H N O
10.1021/ic200547k,,,,C Cl H N O Ru
10.1021/ic200564d,,,,C H N O Pd
10.1021/ic200589e,,,,C Cl H Ni O P
10.1021/ic2005979,,,,C H N O
10.1021/ic200602v,,,,Fe
10.1021/ic2006327,,,,C H N O Ti
10.1021/ic2006474,,,,B C F H Si
10.1021/ic200704s,,,,C H Ir N O
10.1021/ic200757j,,,,Au C H O P
10.1021/ic2007588,,,,C Cu H N O P
10.1021/ic200765s,,,,C H N V
10.1021/ic200785g,,,,C H N Ni O
10.1021/ic200794b,,,,C Cl H N Pt
10.1021/ic200842z,,,,C Cl H P Pd S
10.1021/ic200877f,,,,C H
10.1021/ic200885h,,,,C Mn O S
10.1021/ic200889y,,,,C H N Pt S
10.1021/ic200899w,,,,C H N S Zn
10.1021/ic2009732,,,,C Fe H N
10.1021/ic2011056,,,,C Ge H N Si
10.1021/ic201123x,,,,C Cr H N
10.1021/ic201137t,,,,C Fe N O
10.1021/ic2011474,,,,C F H Ir N O
10.1021/ic201168j,,,,C H Mn N O
10.1021/ic201254w,,,,C H N O Pt
10.1021/ic201393n,,,,C H La N O
10.1021/ic2014607,,,,P
10.1021/ic2014946,,,,H O
10.1021/ic201508m,,,,C H
10.1021/ic201521w,,,,C H N O Ru
10.1021/ic201527s,,,,C H N O
10.1021/ic201533p,,,,C H Mo N O S
10.1021/ic201550a,,,,C H Mo N P Si
10.1021/ic201573q,,,,B C Cl H N P Ru
10.1021/ic201574m,,,,C H I O Rh
10.1021/ic201595e,,,,C Cl H N Pt
10.1021/ic2016148,,,,C Fe H N P
10.1021/ic201643t,,,,C H Mo N O S
10.1021/ic201663m,,,,C Fe H Hg N O
10.1021/ic201686c,,,,C H N O Ru
10.1021/ic2016885,,,,C H N Ru
10.1021/ic201726k,,,,B H
10.1021/ic2017853,,,,C H N O Re
10.1021/ic201788t,,,,C Fe O
10.1021/ic201842v,,,,B C Co F H N O
10.1021/ic201896q,,,,C Cl H N O Ti
10.1021/ic201910t,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu Dy Er Eu F Fe Ga Gd Ge H He Hf Ho I In K Kr La Li Lu Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Ta Tb Tc Te Ti Tm V W Xe Y Yb Zn Zr
10.1021/ic2020176,,,,H
10.1021/ic202023r,,,,C Cu H N
10.1021/ic2020397,,,,C H S
10.1021/ic202045a,,,,C H N O S
10.1021/ic202049t,,,,B Be C F He Li Mg N Na Ne O
10.1021/ic202061b,,,,H O
10.1021/ic202073q,,,,C H N O
10.1021/ic2020786,,,,Au C H N
10.1021/ic202079r,,,,C Co H P Si
10.1021/ic202152h,,,,Al C H
10.1021/ic202162q,,,,C F H Ir N O
10.1021/ic202164v,,,,C H I N O Rh
10.1021/ic202253v,,,,H
10.1021/ic2022769,,,,C H N O S
10.1021/ic202332d,,,,C Fe H N O S
10.1021/ic202344w,,,,C Co H N
10.1021/ic202436j,,,,Eu Gd Ho La Lu Nd Yb
10.1021/ic2024605,,,,C H N
10.1021/ic202503h,,,,C H Th
10.1021/ic202535e,,,,C S
10.1021/ic202546a,,,,C H Mo N O
10.1021/ic202573y,,,,C H Ir N
10.1021/ic202588u,,,,C H Mo N O
10.1021/ic202598c,,,,B C Cu H P
10.1021/ic202622s,,,,C Cl H P W
10.1021/ic2026945,,,,C Fe H O P
10.1021/ic2027219,,,,C Cr H N
10.1021/ic202726g,,,,C H N O Os
10.1021/ic202756w,,,,Ir
10.1021/ic202764j,,,,Ag Al Ar As B Be Br C Ca Cd Cl Co Cr Cu F Fe Ga Ge H He In K Kr Li Mg Mn Mo N Na Nb Ne Ni O P Pd Rb Rh Ru S Sc Se Si Sr Tc Ti V Y Zn Zr
10.1021/ic300002p,,,,As C H Ni S
10.1021/ic300004x,,,,C Cl F H N P Pt Rh
10.1021/ic300009a,,,,C H N Ni P
10.1021/ic300038m,,,,C Cl H N Pt
10.1021/ic300054j,,,,C H N Ru
10.1021/ic3000608,,,,B
10.1021/ic300062s,,,,C H N O U
10.1021/ic300129z,,,,C H N Zr
10.1021/ic300135w,,,,Cu S
10.1021/ic300150u,,,,C Fe H N
10.1021/ic3001619,,,,C H N Ni
10.1021/ic3001625,,,,O U
10.1021/ic300175b,,,,C H N O P Ru
10.1021/ic300366m,,,,C Fe H
10.1021/ic3004596,,,,B F N Ne
10.1021/ic300498b,,,,H O Si Ta
10.1021/ic300522g,,,,C Cr H N O P
10.1021/ic300531b,,,,C H P Pt
10.1021/ic3006426,,,,C Cl H Ir O P
10.1021/ic300686n,,,,C H N
10.1021/ic300715y,,,,C F Ge H N Se
10.1021/ic300742p,,,,C H O P Pu
10.1021/ic300750c,,,,C Fe H N S
10.1021/ic300761g,,,,He
10.1021/ic3008427,,,,C H Mn N O
10.1021/ic300863d,,,,C H Mo N O S Se
10.1021/ic300867m,,,,C H Th
10.1021/ic300869z,,,,C H Mo O P S
10.1021/ic3008798,,,,B C Fe H Hf N O
10.1021/ic300892p,,,,C H P Se
10.1021/ic300923c,,,,H
10.1021/ic300929g,,,,C Cu H N
10.1021/ic3009464,,,,Au C H P
10.1021/ic300979c,,,,C Cu H I N P
10.1021/ic300983x,,,,C P Ru S
10.1021/ic301153p,,,,C H N O V
10.1021/ic301154e,,,,H
10.1021/ic301176b,,,,C H N
10.1021/ic301233j,,,,C H N O P Ru
10.1021/ic301272h,,,,C H N
10.1021/ic301303n,,,,Cl H
10.1021/ic3013443,,,,C Co H N
10.1021/ic3013552,,,,Au C H N O Zn
10.1021/ic3014392,,,,H P
10.1021/ic301445h,,,,C Cl H N P Pt
10.1021/ic301454y,,,,C Cu N
10.1021/ic301539q,,,,C H O Ru
10.1021/ic301563u,,,,C H N Pt
10.1021/ic3015964,,,,C H O U
10.1021/ic301601c,,,,C H Ir N O
10.1021/ic3016035,,,,C Fe H N O
10.1021/ic301612g,,,,C H Mo O P
10.1021/ic3016194,,,,C Cl Ge H N Rh
10.1021/ic301629m,,,,C H N P Pd
10.1021/ic301733r,,,,B C H Ni P
10.1021/ic301758k,,,,H P
10.1021/ic301766b,,,,C O Re Sb W
10.1021/ic301799p,,,,C F H O Pd S
10.1021/ic301835c,,,,C H N
10.1021/ic3018503,,,,C Cu H N O
10.1021/ic301909u,,,,C Cr N
10.1021/ic3019666,,,,C H N Ru
10.1021/ic301967r,,,,C H N P Pd
10.1021/ic301968j,,,,C H Ir O
10.1021/ic3019887,,,,C Ga H N
10.1021/ic302026f,,,,C H N
10.1021/ic302031f,,,,Br C H Si
10.1021/ic302110a,,,,C H N O W
10.1021/ic302176f,,,,C F O S
10.1021/ic3021904,,,,C H N Ni O P
10.1021/ic302236u,,,,C F Ni S
10.1021/ic302289r,,,,C Cl Cu H N O
10.1021/ic302307m,,,,C H P Ru
10.1021/ic302322r,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu Dy Eu F Fe Ga Gd Ge H He Ho I In K Kr La Li Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Tb Tc Te Ti V Xe Y Zn Zr
10.1021/ic302353t,,,,Au F
10.1021/ic302355b,,,,C Cl H Mo N O
10.1021/ic302438f,,,,C O
10.1021/ic302448d,,,,Al B Be C F H He Li Mg N Na Ne O Si
10.1021/ic302478e,,,,C H N Pt
10.1021/ic302557j,,,,O Te Zn
10.1021/ic302758g,,,,C H N O
10.1021/ic302793w,,,,Br C H N O
10.1021/ic302799s,,,,S
10.1021/ic400009m,,,,C H N
10.1021/ic400010d,,,,C H N
10.1021/ic400054k,,,,C H N O Ru
10.1021/ic400174r,,,,C Cu H N O
10.1021/ic400251y,,,,C H O P Pt
10.1021/ic400377k,,,,Br C H Mn N O
10.1021/ic400399v,,,,C H I O
10.1021/ic400417d,,,,C Cu H N O
10.1021/ic4004559,,,,B H S
10.1021/ic400463a,,,,C Cl H N Ti Y
10.1021/ic4004824,,,,C Cl H N O Ru
10.1021/ic4004998,,,,Br
10.1021/ic4005104,,,,C Cl Fe H N O
10.1021/ic400541e,,,,C H Ir N
10.1021/ic4005449,,,,C Cr O
10.1021/ic4005505,,,,B C H N P Rh Si
10.1021/ic400558b,,,,C Cu H N O
10.1021/ic400652b,,,,O
10.1021/ic400666v,,,,C H N Pd Ru
10.1021/ic400684s,,,,C H Ir N O P
10.1021/ic4007026,,,,C H N O
10.1021/ic400703r,,,,C H P Ru Si
10.1021/ic400730a,,,,C Cl H O Os P
10.1021/ic400732g,,,,C Cl H N Pt
10.1021/ic400736b,,,,Au C Cl H P Sb
10.1021/ic400741b,,,,C Cl H Ru Zn
10.1021/ic400759r,,,,C H Ir O P
10.1021/ic4008203,,,,C H Mn N O
10.1021/ic400908f,,,,C H N O Pt S
10.1021/ic400911k,,,,C H N O
10.1021/ic400953e,,,,C Fe H O Zn
10.1021/ic400955c,,,,C Cl Cu H N O
10.1021/ic401008y,,,,C Cl H N O Ti
10.1021/ic4010196,,,,C Cl H N Ru
10.1021/ic401119p,,,,C Cl H N P Ru
10.1021/ic401130e,,,,C F
10.1021/ic4011423,,,,C Fe H N
10.1021/ic401163y,,,,C Cl Fe H In N
10.1021/ic4011746,,,,C F H N Ni
10.1021/ic401204j,,,,C H Mo O P
10.1021/ic401275e,,,,C H O U
10.1021/ic4012873,,,,C Co H N O P Pt
10.1021/ic401356u,,,,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn N Na Ne Ni O P Rb S Sc Se Si Sr Ti V Zn
10.1021/ic401429z,,,,C H N O Se
10.1021/ic401432m,,,,C H N P
10.1021/ic4014366,,,,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn N Na Ne Ni O P S Sc Se Si Ti V Zn
10.1021/ic401450u,,,,C F H P W
10.1021/ic401521m,,,,H O Si
10.1021/ic401540s,,,,Au C H Ni O P
10.1021/ic401677j,,,,Fe H N
10.1021/ic401752n,,,,V
10.1021/ic401798b,,,,C F H Ni O P W
10.1021/ic401835d,,,,C Cl H Ir P
10.1021/ic401836n,,,,C Fe H O
10.1021/ic401844m,,,,B H N
10.1021/ic4018882,,,,C Co H N P
10.1021/ic401920b,,,,B C F H N
10.1021/ic401933m,,,,C H P
10.1021/ic401974t,,,,C Ce H N O
10.1021/ic401985d,,,,C Fe H N O
10.1021/ic401999r,,,,H O W Zr
10.1021/ic402036p,,,,C F H N O Pt
10.1021/ic402082m,,,,C H N
10.1021/ic4021349,,,,H
10.1021/ic402173z,,,,C H Li N O
10.1021/ic402255m,,,,C H O
10.1021/ic402261v,,,,Cl H
10.1021/ic4023344,,,,H O
10.1021/ic402343q,,,,C Co H I N P U
10.1021/ic402358s,,,,C Cl H P Pt
10.1021/ic402411g,,,,C Cl H Ir N
10.1021/ic402422h,,,,F O
10.1021/ic4024458,,,,C H Ir N P Si
10.1021/ic4024663,,,,C O
10.1021/ic402474t,,,,C N Ru
10.1021/ic4025102,,,,C H Mo N O
10.1021/ic402517m,,,,C Fe H N O
10.1021/ic402539x,,,,C H N O Pd Pt
10.1021/ic4026206,,,,B C H P Ru
10.1021/ic402649b,,,,Al C H N P
10.1021/ic4027317,,,,H
10.1021/ic402759w,,,,C Fe H N O
10.1021/ic402762v,,,,C Cl Fe H N O P
10.1021/ic402795g,,,,C Cl H O P
10.1021/ic402831f,,,,C Cl Cr H N O
10.1021/ic4028332,,,,C H N Ru
10.1021/ic402836d,,,,C H N Pd
10.1021/ic402921b,,,,C H O U
10.1021/ic402944r,,,,Cl Fe S
10.1021/ic402962c,,,,Co O P W
10.1021/ic403036s,,,,Au C F H Hg P
10.1021/ic4031766,,,,C Cu H N
10.1021/ic5000205,,,,Al
10.1021/ic500089b,,,,C Fe H Ni O S
10.1021/ic500108g,,,,C Fe H N O
10.1021/ic500133y,,,,H
10.1021/ic5001683,,,,C Cl H N W
10.1021/ic500229r,,,,F N O Tc
10.1021/ic500231z,,,,Al Ar As B Be Br C Ca Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn Mo N Na Nb Ne Ni O P Rb S Sc Se Si Sr Ti V Y Zn Zr
10.1021/ic500232w,,,,C H N O Pt
10.1021/ic500258g,,,,C H Ir N Si Zr
10.1021/ic500355f,,,,C Fe H N
10.1021/ic500363h,,,,C Cu Fe H N O
10.1021/ic500379r,,,,Fe H O
10.1021/ic500389p,,,,Ni
10.1021/ic5004275,,,,C Cl Fe H N P
10.1021/ic500491c,,,,C Cu H N O
10.1021/ic500498k,,,,C H O P W
10.1021/ic500536h,,,,C H
10.1021/ic500636m,,,,C H N O Rh
10.1021/ic500684b,,,,Al Ar B Be C Ca Cl Co Cr Cu F Fe Ga H He K Li Mg Mn N Na Ne Ni O P S Sc Si Ti V Zn
10.1021/ic5006902,,,,H
10.1021/ic500697m,,,,C H P
10.1021/ic500698v,,,,C H N Ni S
10.1021/ic500705t,,,,H
10.1021/ic5007204,,,,C Cr H N
10.1021/ic500723y,,,,C Cl H P Sb
10.1021/ic500743u,,,,C H N O P Ru
10.1021/ic500777d,,,,S
10.1021/ic500811n,,,,C H N O P Ru
10.1021/ic500821z,,,,C H O Ru Se
10.1021/ic500829p,,,,C H N Ni
10.1021/ic500833s,,,,C F H N Si U
10.1021/ic500840e,,,,C Co H N
10.1021/ic5009126,,,,Al C H P
10.1021/ic500939t,,,,C Ce H N Si
10.1021/ic5009413,,,,C Cl H P Pt
10.1021/ic500971z,,,,C H N O Pt
10.1021/ic501032t,,,,C H Ir N
10.1021/ic501103c,,,,C Cl F H N Sn
10.1021/ic501149u,,,,N
10.1021/ic501273b,,,,C H O Pt S
10.1021/ic5013999,,,,B C Cl H N O Pd
10.1021/ic501416u,,,,C H Mo O
10.1021/ic501430x,,,,C H N O Pt
10.1021/ic501463q,,,,C Fe H N
10.1021/ic5015048,,,,C H N O
10.1021/ic501574e,,,,Au C H O P
10.1021/ic5015797,,,,C Cu H N Si
10.1021/ic501600s,,,,C H N P Tl
10.1021/ic501613a,,,,C Fe H N
10.1021/ic5016324,,,,C Cl H Ir N
10.1021/ic501656s,,,,C H N Ni
10.1021/ic501659x,,,,C Cl H Ni O Pt S
10.1021/ic501677k,,,,C Co H N Si
10.1021/ic501695n,,,,C H N
10.1021/ic501715h,,,,U
10.1021/ic501723n,,,,Ga Ru
10.1021/ic501742j,,,,C Cu H S
10.1021/ic501747e,,,,H
10.1021/ic501843c,,,,C H La N O
10.1021/ic501857f,,,,C H Mo O P W
10.1021/ic501869y,,,,Ag Al Ar As B Be Br C Ca Cd Cl Co Cr Cu F Fe Ga Ge H He K Kr Li Mg Mn Mo N Na Nb Ne Ni O P Pd Rb Rh Ru S Sc Se Si Sr Tc Ti V Y Zn Zr
10.1021/ic501932c,,,,C Cl H N O Re
10.1021/ic501991e,,,,Li
10.1021/ic5020412,,,,Ca
10.1021/ic502056w,,,,C Cl H N O Pd
10.1021/ic5020785,,,,Br C H N Ni
10.1021/ic502152r,,,,C Cr H
10.1021/ic502287m,,,,C H Mn N
10.1021/ic502320m,,,,Br C H N Os P
10.1021/ic5023517,,,,C H N O U
10.1021/ic5024218,,,,C Cl H Mo N Ru
10.1021/ic502438g,,,,B Be C H He Li N
10.1021/ic502444k,,,,C F H Ir N O
10.1021/ic5024983,,,,C H Mn N O P
10.1021/ic5025313,,,,Br C H N P S W
10.1021/ic502535f,,,,C Fe H N O
10.1021/ic5026153,,,,C H N Ni P
10.1021/ic502665x,,,,C Co H N O
10.1021/ic502729z,,,,C H Mo N O
10.1021/ic5027625,,,,C Fe H N O
10.1021/ic502792q,,,,C H N Ni
10.1021/ic502966m,,,,O
10.1021/ic502969w,,,,N O Pu
10.1021/ic5029838,,,,K
10.1021/ic502991p,,,,C H Si Tm
10.1021/ic503036b,,,,B O
10.1021/ic503046n,,,,Mn O
10.1021/ic503070j,,,,C H N O Ru
10.1021/ic503072u,,,,B C Cu H N P
10.1021/ic503117k,,,,C H N Ru
10.1021/ic700462h,,,,C Fe H N O
10.1021/ic700619g,,,,B C Fe H N O
10.1021/ic7006292,,,,C Fe H N S
10.1021/ic700647v,,,,B C H N
10.1021/ic700674c,,,,C H N P Ru
10.1021/ic700761e,,,,C Fe H O P Pt Si
10.1021/ic7008946,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu Dy Er Eu F Fe Ga Gd Ge H He Ho I In K Kr La Li Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Tb Tc Te Ti Tm V Xe Y Yb Zn Zr
10.1021/ic700940x,,,,C H Mn N O
10.1021/ic701063v,,,,Al C H N O Ti
10.1021/ic701171p,,,,C Co H N P Si
10.1021/ic7011765,,,,C H N O Ti Zr
10.1021/ic701421w,,,,C Cl H N O Ru S
10.1021/ic701529a,,,,Br C H Ni O P
10.1021/ic701625g,,,,C Cr H
10.1021/ic7017314,,,,Cl Mo O
10.1021/ic701830m,,,,Ag C Cl H N O
10.1021/ic701892v,,,,C H N O Ru
10.1021/ic7020897,,,,C H P S
10.1021/ic702139n,,,,C H N Ru
10.1021/ic702186g,,,,Ag C H N O
10.1021/ic702273a,,,,C H N S
10.1021/ic7022743,,,,B Be H He Li
10.1021/ic702276k,,,,C H Ti
10.1021/ic702279b,,,,C Fe H N P Si
10.1021/ic7023764,,,,C H N Ni P Si
10.1021/ic702503m,,,,C H N Ni P Si
10.1021/ic800019n,,,,C O Os
10.1021/ic8000653,,,,C Cr N
10.1021/ic8000976,,,,C H Se Sn
10.1021/ic800182m,,,,C Fe H N P
10.1021/ic800187r,,,,C Cr H O
10.1021/ic800237a,,,,C
10.1021/ic800246t,,,,C H N Ru
10.1021/ic8002838,,,,C Cl Fe H N
10.1021/ic8003933,,,,C Cu H N O
10.1021/ic800483g,,,,H O
10.1021/ic8004932,,,,C Cl H Ti
10.1021/ic800494h,,,,C H Mo S
10.1021/ic800750g,,,,Pb
10.1021/ic8007552,,,,C Fe H O P S
10.1021/ic800790u,,,,C Cl H N Pd
10.1021/ic800845h,,,,C Cu H N O
10.1021/ic800878x,,,,Ag Al Ar As B Ba Be Br C Ca Cd Ce Cl Co Cr Cs Cu Eu F Fe Ga Gd Ge H He I In K Kr La Li Mg Mn Mo N Na Nb Nd Ne Ni O P Pd Pm Pr Rb Rh Ru S Sb Sc Se Si Sm Sn Sr Tb Tc Te Ti V Xe Y Zn Zr
10.1021/ic800930t,,,,Fe
10.1021/ic8009892,,,,C H N S
10.1021/ic8010019,,,,B H
10.1021/ic801117m,,,,C H
10.1021/ic801277r,,,,C Fe H S
10.1021/ic801327a,,,,C H O P Ru Si
10.1021/ic801352d,,,,C H N O Os
10.1021/ic8013706,,,,C H
10.1021/ic801443y,,,,C Cu H N O P Si
10.1021/ic801518h,,,,C Fe H N P
10.1021/ic801535v,,,,Cl Fe
10.1021/ic8015673,,,,I O S Se
10.1021/ic801676n,,,,C H Mo P
10.1021/ic801731s,,,,B H N
10.1021/ic8017858,,,,C H I Ir O
10.1021/ic801787s,,,,C Cl H Mo O S
10.1021/ic8019777,,,,C H Mn O Si
10.1021/ic8020063,,,,C Cl Cu H N
10.1021/ic802212m,,,,C H N P U
10.1021/ic802262h,,,,Al C H N
10.1021/ic802286u,,,,C Cl H N P Pd
10.1021/ic8024588,,,,Au C H Li S
10.1021/ic900060d,,,,C H N
10.1021/ic900066z,,,,C H O U
10.1021/ic9001175,,,,C Co H N O
10.1021/ic9001835,,,,H Li
